Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,2.0,7.0,6.0,6.0,6.0,6.0,43.0,27.0,26.0,3.0,27.0,39.0,38.0,38.0,218.0,358.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,5016.0,4607.0,4207.0,3940.0,4424.0,1730.0,1096.0,935.0,719.0,635.0,741.0,937.0,1590.0,2711.0,14327.0,21065.0
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,1329.0,975.0,626.0,529.0,737.0,457.0,458.0,295.0,232.0,220.0,230.0,257.0,366.0,450.0,2358.0,3326.0
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,12.0,35.0,95.0,164.0,599.0,984.0
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,563.0,858.0
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,134.0,132.0,176.0,223.0,426.0,317.0,177.0,96.0,75.0,54.0,11.0,27.0,82.0,168.0,871.0,1163.0
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,92.0,105.0,97.0,71.0,66.0,93.0,54.0,101.0,94.0,84.0,32.0,40.0,113.0,169.0,859.0,1161.0
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,147.0,193.0,210.0,186.0,231.0,79.0,39.0,29.0,27.0,17.0,24.0,51.0,87.0,121.0,909.0,1400.0
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,326.0,264.0,190.0,182.0,224.0,61.0,46.0,25.0,28.0,19.0,42.0,81.0,139.0,227.0,1089.0,1584.0
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,286.0,312.0,348.0,339.0,272.0,60.0,30.0,43.0,22.0,24.0,35.0,32.0,43.0,84.0,1307.0,1900.0
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,513.0,477.0,429.0,375.0,310.0,52.0,11.0,58.0,9.0,8.0,20.0,31.0,70.0,174.0,974.0,1311.0
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,52.0,54.0,55.0,57.0,47.0,26.0,36.0,24.0,15.0,13.0,4.0,5.0,37.0,86.0,584.0,1021.0
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,239.0,245.0,326.0,357.0,330.0,127.0,76.0,50.0,49.0,33.0,32.0,29.0,63.0,77.0,429.0,645.0
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,237.0,235.0,317.0,329.0,172.0,68.0,36.0,22.0,23.0,17.0,103.0,102.0,85.0,133.0,600.0,1039.0
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,54.0,67.0,151.0,138.0,96.0,89.0,21.0,43.0,54.0,33.0,30.0,45.0,69.0,107.0,663.0,1005.0
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,186.0,335.0,251.0,342.0,419.0,76.0,55.0,87.0,37.0,56.0,57.0,59.0,88.0,106.0,892.0,1185.0
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,1036.0,825.0,662.0,508.0,405.0,113.0,29.0,40.0,28.0,22.0,48.0,70.0,106.0,279.0,533.0,880.0
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,385.0,388.0,369.0,304.0,689.0,112.0,28.0,22.0,23.0,29.0,61.0,73.0,147.0,296.0,1097.0,1603.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,557.0,597.0,477.0,563.0,403.0,529.0,405.0,308.0,272.0,106.0,686.0,1188.0,884.0,1258.0,6641.0,11084.0
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,82.0,86.0,71.0,54.0,39.0,117.0,80.0,91.0,128.0,40.0,414.0,494.0,311.0,340.0,1471.0,2180.0
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,17.0,7.0,11.0,13.0,16.0,24.0,32.0,20.0,10.0,7.0,23.0,238.0,56.0,114.0,496.0,647.0
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,36.0,150.0
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,38.0,10.0,11.0,25.0,21.0,21.0,21.0,17.0,15.0,6.0,7.0,27.0,40.0,72.0,201.0,516.0
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,61.0,86.0,75.0,95.0,35.0,42.0,42.0,47.0,33.0,10.0,32.0,54.0,86.0,151.0,803.0,1375.0
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,150.0,156.0,58.0,75.0,46.0,46.0,21.0,18.0,20.0,10.0,34.0,53.0,110.0,137.0,809.0,1356.0
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,91.0,96.0,103.0,113.0,95.0,114.0,142.0,30.0,21.0,12.0,98.0,120.0,129.0,148.0,1256.0,1789.0
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,33.0,57.0,53.0,67.0,66.0,76.0,15.0,29.0,23.0,4.0,16.0,49.0,44.0,79.0,436.0,794.0
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,9.0,8.0,4.0,10.0,10.0,9.0,8.0,10.0,7.0,3.0,2.0,9.0,41.0,67.0,185.0,434.0
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,9.0,5.0,6.0,3.0,3.0,8.0,3.0,1.0,5.0,4.0,23.0,17.0,13.0,10.0,260.0,439.0
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,67.0,86.0,85.0,108.0,72.0,72.0,41.0,45.0,10.0,10.0,37.0,127.0,50.0,113.0,688.0,1404.0
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,2024.0,2335.0,3354.0,3181.0,2290.0,2193.0,1746.0,1508.0,1092.0,1084.0,659.0,933.0,1178.0,1460.0,13186.0,18665.0
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,738.0,934.0,1743.0,1758.0,1138.0,981.0,690.0,640.0,478.0,512.0,329.0,435.0,535.0,582.0,4625.0,6173.0
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,111.0,76.0,84.0,64.0,36.0,34.0,29.0,26.0,26.0,5.0,4.0,15.0,41.0,53.0,599.0,857.0
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,162.0,178.0,227.0,216.0,196.0,145.0,128.0,114.0,96.0,58.0,45.0,57.0,49.0,63.0,864.0,1260.0
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,116.0,79.0,119.0,112.0,99.0,125.0,112.0,94.0,77.0,66.0,31.0,46.0,54.0,151.0,862.0,1211.0
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,56.0,75.0,72.0,42.0,19.0,32.0,29.0,21.0,23.0,26.0,6.0,12.0,25.0,60.0,680.0,957.0
1714219,Pop tumani,Папский район,Pop district,Поп тумани,101.0,109.0,140.0,129.0,105.0,121.0,179.0,158.0,91.0,81.0,22.0,41.0,53.0,72.0,580.0,841.0
